Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,week,RH,Trange
1,2007-05-01,83.0,50.0,66.5,51.0,56.0,0.0,2.0,0.0,29.1,29.82,1.7,27.0,9.2,18,57.394895287956274,33.0
2,2007-05-01,84.0,52.0,68.0,51.0,57.0,0.0,3.0,0.0,29.18,29.82,2.7,25.0,9.6,18,54.497276281177406,32.0
1,2007-05-02,59.0,42.0,50.5,42.0,47.0,14.0,0.0,0.0,29.38,30.09,13.0,4.0,13.4,18,72.50868575131864,17.0
2,2007-05-02,60.0,43.0,51.5,42.0,47.0,13.0,0.0,0.0,29.44,30.08,13.3,2.0,13.4,18,69.87248150181188,17.0
1,2007-05-03,66.0,46.0,56.0,40.0,48.0,9.0,0.0,0.0,29.39,30.12,11.7,7.0,11.9,18,54.84885958603458,20.0
2,2007-05-03,67.0,48.0,57.5,40.0,50.0,7.0,0.0,0.0,29.46,30.12,12.9,6.0,13.2,18,51.95618105356584,19.0
1,2007-05-04,66.0,49.0,57.5,41.0,50.0,7.0,0.0,0.14724466463414634,29.31,30.05,10.4,8.0,10.8,18,54.0114612842241,17.0
2,2007-05-04,78.0,51.0,64.5,42.0,50.0,3.40709171496761,5.647118990794408,0.0,29.36,30.04,10.1,7.0,10.4,18,43.79590911234035,27.0
1,2007-05-05,66.0,53.0,59.5,38.0,49.0,5.0,0.0,0.14724466463414634,29.4,30.1,11.7,7.0,12.0,18,44.72745415594877,13.0
2,2007-05-05,66.0,54.0,60.0,39.0,50.0,5.0,0.0,0.14724466463414634,29.46,30.09,11.2,7.0,11.5,18,45.691135780344744,12.0
1,2007-05-06,68.0,49.0,58.5,30.0,46.0,6.0,0.0,0.0,29.57,30.29,14.4,11.0,15.0,18,33.674388691311584,19.0
2,2007-05-06,68.0,52.0,60.0,30.0,46.0,5.0,0.0,0.0,29.62,30.28,13.8,10.0,14.5,18,31.91694960547223,16.0
1,2007-05-07,83.0,47.0,65.0,41.0,54.0,0.0,0.0,0.14724466463414634,29.38,30.12,8.6,18.0,10.5,19,41.407662853927874,36.0
2,2007-05-07,84.0,50.0,67.0,39.0,53.0,0.0,2.0,0.0,29.44,30.12,8.5,17.0,9.9,19,35.73967643765382,34.0
1,2007-05-08,82.0,54.0,68.0,58.0,62.0,0.0,3.0,0.0,29.29,30.03,2.7,11.0,5.8,19,70.3500341906023,28.0
2,2007-05-08,80.0,60.0,70.0,57.0,63.0,0.0,5.0,0.14724466463414634,29.36,30.02,2.5,8.0,5.4,19,63.365166672408776,20.0
1,2007-05-09,77.0,61.0,69.0,59.0,63.0,0.0,4.0,0.13,29.21,29.94,3.9,9.0,6.2,19,70.4552272678883,16.0
2,2007-05-09,76.0,63.0,69.5,60.0,63.0,0.0,5.0,0.02,29.28,29.93,3.9,7.0,5.9,19,71.77594403563046,13.0
1,2007-05-10,84.0,56.0,70.0,52.0,60.0,0.0,5.0,0.0,29.2,29.92,0.7,17.0,4.1,19,52.80147113979146,28.0
2,2007-05-10,83.0,59.0,71.0,52.0,61.0,0.0,6.0,0.0,29.26,29.91,2.0,9.0,3.9,19,51.032969620861465,24.0
1,2007-05-11,70.0,51.0,60.5,42.0,51.0,4.0,0.0,0.0,29.33,30.04,11.3,3.0,12.9,19,50.42575103560858,19.0
2,2007-05-11,73.0,49.0,61.0,44.0,51.0,4.0,0.0,0.0,29.39,30.03,11.7,36.0,12.8,19,53.489222585624475,24.0
1,2007-05-12,64.0,46.0,55.0,36.0,46.0,10.0,0.0,0.0,29.49,30.2,12.4,3.0,12.9,19,48.61640558435118,18.0
2,2007-05-12,65.0,47.0,56.0,37.0,46.0,9.0,0.0,0.0,29.54,30.19,12.7,1.0,13.0,19,48.77141942984007,18.0
1,2007-05-13,69.0,43.0,56.0,33.0,46.0,9.0,0.0,0.0,29.49,30.24,6.6,14.0,8.1,19,41.598614305277,26.0
2,2007-05-13,69.0,44.0,56.5,32.0,46.0,8.0,0.0,0.0,29.55,30.24,6.4,11.0,7.6,19,39.24187891328215,25.0
1,2007-05-14,90.0,56.0,73.0,47.0,59.0,0.0,8.0,0.0,29.23,29.97,16.9,21.0,17.3,20,39.58164504515501,34.0
2,2007-05-14,90.0,54.0,72.0,45.0,58.0,0.0,7.0,0.0,29.31,29.98,14.1,21.0,14.6,20,37.95619680259921,36.0
1,2007-05-15,80.0,57.0,68.5,56.0,61.0,0.0,4.0,0.38,29.13,29.84,8.1,27.0,12.3,20,64.3363410570908,23.0
2,2007-05-15,82.0,56.0,69.0,56.0,61.0,0.0,4.0,0.6,29.19,29.83,8.1,25.0,10.8,20,63.24179235088773,26.0
1,2007-05-16,66.0,44.0,55.0,43.0,48.0,10.0,0.0,0.14,29.33,30.03,7.8,36.0,12.2,20,63.864667476624994,22.0
2,2007-05-16,64.0,45.0,54.5,42.0,47.0,10.0,0.0,0.07,29.39,30.03,8.0,36.0,11.8,20,62.585455856193036,19.0
1,2007-05-17,62.0,43.0,52.5,32.0,43.0,12.0,0.0,0.0,29.55,30.27,10.5,3.0,11.3,20,45.40595023757723,19.0
2,2007-05-17,61.0,44.0,52.5,32.0,43.0,12.0,0.0,0.0,29.62,30.27,11.7,1.0,12.2,20,45.40595023757723,17.0
1,2007-05-18,71.0,42.0,56.5,30.0,46.0,8.0,0.0,0.0,29.53,30.25,5.4,25.0,7.5,20,36.18863805757091,29.0
2,2007-05-18,70.0,43.0,56.5,31.0,47.0,8.0,0.0,0.0,29.6,30.26,3.4,22.0,5.5,20,37.68783913042731,27.0
1,2007-05-19,80.0,56.0,68.0,39.0,53.0,0.0,3.0,0.0,29.34,30.08,11.1,24.0,11.4,20,34.52768660164003,24.0
2,2007-05-19,80.0,56.0,68.0,37.0,53.0,0.0,3.0,0.0,29.41,30.08,11.1,23.0,11.4,20,31.921967677082066,24.0
1,2007-05-20,69.0,43.0,56.0,40.0,44.0,9.0,0.0,0.07,29.38,30.11,10.4,4.0,10.7,20,54.84885958603458,26.0
2,2007-05-20,69.0,44.0,56.5,41.0,45.0,8.0,0.0,0.11,29.44,30.11,8.6,3.0,9.7,20,55.99585753151277,25.0
1,2007-05-21,80.0,44.0,62.0,50.0,56.0,3.0,0.0,0.0,29.33,30.06,6.3,11.0,8.2,21,64.73130403319603,36.0
2,2007-05-21,79.0,46.0,62.5,50.0,57.0,2.0,0.0,0.0,29.39,30.05,6.3,10.0,7.8,21,63.599539558892396,33.0
1,2007-05-22,87.0,55.0,71.0,46.0,58.0,0.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,21,40.78437873189862,32.0
2,2007-05-22,87.0,60.0,73.5,44.0,58.0,0.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,21,34.73336308132165,27.0
1,2007-05-23,89.0,60.0,74.5,49.0,61.0,0.0,10.0,0.0,29.39,30.1,11.4,19.0,11.8,21,40.569029006255334,29.0
2,2007-05-23,89.0,66.0,77.5,48.0,61.0,0.0,13.0,0.0,29.47,30.1,10.9,18.0,11.2,21,35.363404218479076,23.0
